GEO_ID,OBESITY_BRFSS_2013,NOTE
0400000US01,32.4,Alabama
0400000US02,28.4,Alaska
0400000US04,26.8,Arizona
0400000US05,34.6,Arkansas
0400000US06,24.1,California
0400000US08,21.3,Colorado
0400000US09,25,Connecticut
0400000US10,31.1,Delaware
0400000US11,22.9,District of Columbia
0400000US12,26.4,Florida
0400000US13,30.3,Georgia
0400000US15,21.8,Hawaii
0400000US16,29.6,Idaho
0400000US17,29.4,Illinois
0400000US18,31.8,Indiana
0400000US19,31.3,Iowa
0400000US20,30,Kansas
0400000US21,33.2,Kentucky
0400000US22,33.1,Louisiana
0400000US23,28.9,Maine
0400000US24,28.3,Maryland
0400000US25,23.6,Massachusetts
0400000US26,31.5,Michigan
0400000US27,25.5,Minnesota
0400000US28,35.1,Mississippi
0400000US29,30.4,Missouri
0400000US30,24.6,Montana
0400000US31,29.6,Nebraska
0400000US32,26.2,Nevada
0400000US33,26.7,New Hampshire
0400000US34,26.3,New Jersey
0400000US35,26.4,New Mexico
0400000US36,25.4,New York
0400000US37,29.4,North Carolina
0400000US38,31,North Dakota
0400000US39,30.4,Ohio
0400000US40,32.5,Oklahoma
0400000US41,26.5,Oregon
0400000US42,30,Pennsylvania
0400000US72,27.9,Puerto Rico
0400000US44,27.3,Rhode Island
0400000US45,31.7,South Carolina
0400000US46,29.9,South Dakota
0400000US47,33.7,Tennessee
0400000US48,30.9,Texas
0400000US49,24.1,Utah
0400000US50,24.7,Vermont
0400000US51,27.2,Virginia
0400000US53,27.2,Washington
0400000US54,35.1,West Virginia
0400000US55,29.8,Wisconsin
0400000US56,27.8,Wyoming
